gameId,gameDateTimeEst,teamId,opponentTeamId,win,Min,PTS,FGA,FGM,FGP,TPA,TPM,TPP,FTA,FTM,FTP,AST,TOV,OREB,BLK,STL,PF,DREB,Opp_PTS,Opp_FGA,Opp_FGM,Opp_FGP,Opp_TPA,Opp_TPM,Opp_TPP,Opp_FTA,Opp_FTM,Opp_FTP,Opp_AST,Opp_TOV,Opp_BLK,Opp_STL,Opp_PF,Opp_OREB,Opp_DREB,Poss,Opp_Poss,eFG,TS,AST_Per,TOV_Rat,OREB_Per,Opp_eFG,BLK_Rat,STL_Rat,PF_Rat,Opp_TOV_Rat,DREB_Per,off_eff,def_eff,net_eff,off_rat,def_rat,net_rat
22500404,2025-12-22 15:00:00+00:00,1610612740,1610612742,1,240.0,119,97.0,44.0,0.454,34.0,8.0,0.235,27.0,23.0,0.852,28.0,12.0,14.0,2.0,9.0,16.0,37.0,113,104,46,0.442,33,10,0.303,21,11,0.524,29,16,5,9,19,18,39,106.88,111.24000000000001,0.495,0.546,0.636,11.228,0.264,0.49,1.798,8.091,14.383,14.383,0.673,111.34,101.582,9.758,100.936,94.798,195.734
22500404,2025-12-22 15:00:00+00:00,1610612742,1610612740,0,240.0,113,104.0,46.0,0.442,33.0,10.0,0.303,21.0,11.0,0.524,29.0,16.0,18.0,5.0,9.0,19.0,39.0,119,97,44,0.454,34,8,0.235,27,23,0.852,28,12,2,9,16,14,37,111.24000000000001,106.88,0.49,0.499,0.63,14.383,0.327,0.495,4.678,8.421,17.777,11.228,0.736,101.582,111.34,-9.758,97.124,102.329,199.453
22500403,2025-12-22 14:30:00+00:00,1610612738,1610612754,1,240.0,103,89.0,38.0,0.427,37.0,11.0,0.297,19.0,16.0,0.842,19.0,13.0,11.0,6.0,6.0,16.0,38.0,95,85,33,0.388,40,13,0.325,18,16,0.889,19,12,3,4,21,9,27,99.36,95.92,0.489,0.529,0.5,13.084,0.289,0.465,6.255,6.255,16.681,12.51,0.809,103.663,99.041,4.623,93.912,108.072,201.984
22500403,2025-12-22 14:30:00+00:00,1610612754,1610612738,0,240.0,95,85.0,33.0,0.388,40.0,13.0,0.325,18.0,16.0,0.889,19.0,12.0,9.0,3.0,4.0,21.0,27.0,103,89,38,0.427,37,11,0.297,19,16,0.842,19,13,6,6,16,11,38,95.92,99.36,0.465,0.511,0.576,12.51,0.191,0.489,3.019,4.026,21.135,13.084,0.711,99.041,103.663,-4.623,90.864,84.026,174.89
22500402,2025-12-22 14:00:00+00:00,1610612739,1610612766,1,240.0,139,87.0,48.0,0.552,44.0,24.0,0.545,19.0,19.0,1.0,36.0,13.0,5.0,2.0,9.0,20.0,25.0,132,94,46,0.489,42,21,0.5,25,19,0.76,29,19,3,10,18,17,27,103.36,107.0,0.69,0.729,0.75,12.577,0.156,0.601,1.869,8.411,18.692,17.757,0.595,134.481,123.364,11.117,116.861,90.524,207.385
22500402,2025-12-22 14:00:00+00:00,1610612766,1610612739,0,240.0,132,94.0,46.0,0.489,42.0,21.0,0.5,25.0,19.0,0.76,29.0,19.0,17.0,3.0,10.0,18.0,27.0,139,87,48,0.552,44,24,0.545,19,19,1.0,36,13,2,9,20,5,25,107.0,103.36,0.601,0.629,0.63,17.757,0.405,0.69,2.902,9.675,17.415,12.577,0.844,123.364,134.481,-11.117,109.456,93.6,203.056
22500401,2025-12-21 17:00:00+00:00,1610612745,1610612758,0,265.0,124,94.0,45.0,0.479,38.0,16.0,0.421,24.0,18.0,0.75,31.0,14.0,13.0,2.0,9.0,20.0,34.0,125,95,44,0.463,32,12,0.375,36,25,0.694,29,11,5,8,21,19,36,105.56,102.84,0.564,0.593,0.689,13.263,0.265,0.526,1.945,8.751,19.448,10.696,0.642,117.469,121.548,-4.079,105.759,87.315,193.074
22500401,2025-12-21 17:00:00+00:00,1610612758,1610612745,1,265.0,125,95.0,44.0,0.463,32.0,12.0,0.375,36.0,25.0,0.694,29.0,11.0,19.0,5.0,8.0,21.0,36.0,124,94,45,0.479,38,16,0.421,24,18,0.75,31,14,2,9,20,13,34,102.84,105.56,0.526,0.564,0.659,10.696,0.358,0.564,4.737,7.579,19.894,13.263,0.735,121.548,117.469,4.079,109.03,98.087,207.118
22500400,2025-12-21 14:00:00+00:00,1610612749,1610612750,0,240.0,100,87.0,35.0,0.402,45.0,13.0,0.289,20.0,17.0,0.85,27.0,16.0,11.0,2.0,6.0,15.0,40.0,103,87,37,0.425,45,14,0.311,23,15,0.652,28,10,4,10,18,11,35,100.8,96.12,0.477,0.522,0.771,15.873,0.239,0.506,2.081,6.242,15.605,10.404,0.784,99.206,107.158,-7.951,96.937,86.241,183.177
22500400,2025-12-21 14:00:00+00:00,1610612750,1610612749,1,240.0,103,87.0,37.0,0.425,45.0,14.0,0.311,23.0,15.0,0.652,28.0,10.0,11.0,4.0,10.0,18.0,35.0,100,87,35,0.402,45,13,0.289,20,17,0.85,27,16,2,6,15,11,40,96.12,100.8,0.506,0.53,0.757,10.404,0.216,0.477,3.968,9.921,17.857,15.873,0.761,107.158,99.206,7.951,104.142,109.789,213.93
